127.0.0.1 - - [15/Feb/2016:19:38:48 -0200] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [15/Feb/2016:19:38:50 -0200] "GET /fj21_agenda/AdicionarContato.jsp HTTP/1.1" 200 1798
0:0:0:0:0:0:0:1 - - [15/Feb/2016:19:38:50 -0200] "GET /fj21_agenda/css/jquery-ui.css HTTP/1.1" 404 1009
0:0:0:0:0:0:0:1 - - [15/Feb/2016:19:38:51 -0200] "GET /fj21_agenda/Jq/jquery-1.11.3.js HTTP/1.1" 200 284394
0:0:0:0:0:0:0:1 - - [15/Feb/2016:19:38:51 -0200] "GET /fj21_agenda/Jq/jquery-ui.js HTTP/1.1" 200 470591
0:0:0:0:0:0:0:1 - - [15/Feb/2016:19:38:51 -0200] "GET /fj21_agenda/Jq/jquery-ui.css HTTP/1.1" 200 35154
0:0:0:0:0:0:0:1 - - [15/Feb/2016:19:38:51 -0200] "GET /fj21_agenda/images/calendar.gif HTTP/1.1" 200 2900
0:0:0:0:0:0:0:1 - - [15/Feb/2016:19:39:01 -0200] "POST /fj21_agenda/adicionaContato HTTP/1.1" 500 2937
0:0:0:0:0:0:0:1 - - [15/Feb/2016:19:39:11 -0200] "GET /fj21_agenda/css/jquery-ui.css HTTP/1.1" 404 1009
